STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES
MZ000067335,"XAI XAI, MZ",-25.05,33.633,5,1/8/2010,,,27.8,"H,,S",,,20,",,S"
MZ000067335,"XAI XAI, MZ",-25.05,33.633,5,3/3/2010,,,25.4,"H,,S",29,",,S",,
MZ000067335,"XAI XAI, MZ",-25.05,33.633,5,3/4/2010,,,26.3,"H,,S",,,23,",,S"
MZ000067335,"XAI XAI, MZ",-25.05,33.633,5,3/5/2010,,,26.7,"H,,S",28.5,",,S",,
MZ000067335,"XAI XAI, MZ",-25.05,33.633,5,3/6/2010,0.3,",,S",26.3,"H,,S",28.6,",,S",19.5,",,S"
MZ000067335,"XAI XAI, MZ",-25.05,33.633,5,3/7/2010,3,",,S",25.9,"H,,S",28.6,",,S",21.5,",,S"
MZ000067335,"XAI XAI, MZ",-25.05,33.633,5,3/8/2010,1,",,S",24.8,"H,,S",27.2,",,S",22.5,",,S"
MZ000067335,"XAI XAI, MZ",-25.05,33.633,5,3/9/2010,51.1,",,S",25.7,"H,,S",,,21.5,",,S"
MZ000067335,"XAI XAI, MZ",-25.05,33.633,5,3/11/2010,,,25.4,"H,,S",29,",,S",21.6,",,S"
MZ000067335,"XAI XAI, MZ",-25.05,33.633,5,3/12/2010,,,24.8,"H,,S",30,",,S",22,",,S"
MZ000067335,"XAI XAI, MZ",-25.05,33.633,5,3/13/2010,,,26.7,"H,,S",,,22.6,",,S"
MZ000067335,"XAI XAI, MZ",-25.05,33.633,5,3/14/2010,4.1,",,S",26.6,"H,,S",29,",,S",23.9,",,S"
MZ000067335,"XAI XAI, MZ",-25.05,33.633,5,3/15/2010,5.1,",,S",25.9,"H,,S",28.5,",,S",23,",,S"
MZ000067335,"XAI XAI, MZ",-25.05,33.633,5,3/16/2010,0,",,S",24.7,"H,,S",29.1,",,S",,
MZ000067335,"XAI XAI, MZ",-25.05,33.633,5,3/17/2010,,,27.2,"H,,S",32.6,",,S",20,",,S"
MZ000067335,"XAI XAI, MZ",-25.05,33.633,5,3/18/2010,,,25.4,"H,,S",28.5,",,S",,
MZ000067335,"XAI XAI, MZ",-25.05,33.633,5,3/19/2010,0.5,",,S",23.6,"H,,S",28.6,",,S",,
MZ000067335,"XAI XAI, MZ",-25.05,33.633,5,3/20/2010,0,",,S",26.1,"H,,S",31,",,S",,
MZ000067335,"XAI XAI, MZ",-25.05,33.633,5,3/21/2010,,,24.9,"H,,S",29,",,S",,
MZ000067335,"XAI XAI, MZ",-25.05,33.633,5,3/22/2010,,,25.6,"H,,S",29,",,S",19.5,",,S"
MZ000067335,"XAI XAI, MZ",-25.05,33.633,5,3/23/2010,,,25.9,"H,,S",29,",,S",21.5,",,S"
MZ000067335,"XAI XAI, MZ",-25.05,33.633,5,3/28/2010,,,26.6,"H,,S",,,24.5,",,S"
MZ000067335,"XAI XAI, MZ",-25.05,33.633,5,3/30/2010,,,29,"H,,S",33,",,S",,
MZ000067335,"XAI XAI, MZ",-25.05,33.633,5,3/31/2010,0.3,",,S",26.3,"H,,S",29.5,",,S",23,",,S"
MZ000067335,"XAI XAI, MZ",-25.05,33.633,5,4/1/2010,0,",,S",26.4,"H,,S",,,21.5,",,S"
MZ000067335,"XAI XAI, MZ",-25.05,33.633,5,4/2/2010,,,26.8,"H,,S",30.6,",,S",20.9,",,S"
MZ000067335,"XAI XAI, MZ",-25.05,33.633,5,4/3/2010,,,25.8,"H,,S",28.8,",,S",23.5,",,S"
MZ000067335,"XAI XAI, MZ",-25.05,33.633,5,4/4/2010,,,27.4,"H,,S",33.6,",,S",22.5,",,S"
MZ000067335,"XAI XAI, MZ",-25.05,33.633,5,4/5/2010,,,25.8,"H,,S",28.9,",,S",,
MZ000067335,"XAI XAI, MZ",-25.05,33.633,5,4/6/2010,,,26.3,"H,,S",30.3,",,S",21.1,",,S"
MZ000067335,"XAI XAI, MZ",-25.05,33.633,5,4/7/2010,0,",,S",26.8,"H,,S",31.7,",,S",,
MZ000067335,"XAI XAI, MZ",-25.05,33.633,5,4/8/2010,22.1,",,S",25.1,"H,,S",27.8,",,S",22.4,",,S"
MZ000067335,"XAI XAI, MZ",-25.05,33.633,5,4/9/2010,1,",,S",26.2,"H,,S",31,",,S",22.5,",,S"
MZ000067335,"XAI XAI, MZ",-25.05,33.633,5,4/10/2010,0,",,S",26.2,"H,,S",29.6,",,S",23.5,",,S"
MZ000067335,"XAI XAI, MZ",-25.05,33.633,5,4/11/2010,,,23.7,"H,,S",,,,
MZ000067335,"XAI XAI, MZ",-25.05,33.633,5,4/12/2010,,,20.6,"H,,S",27,",,S",,
MZ000067335,"XAI XAI, MZ",-25.05,33.633,5,4/13/2010,0.3,",,S",22.8,"H,,S",27.5,",,S",16,",,S"
MZ000067335,"XAI XAI, MZ",-25.05,33.633,5,4/16/2010,,,27.2,"H,,S",31.8,",,S",,
MZ000067335,"XAI XAI, MZ",-25.05,33.633,5,4/17/2010,,,25.1,"H,,S",29.7,",,S",19.9,",,S"
MZ000067335,"XAI XAI, MZ",-25.05,33.633,5,4/18/2010,,,24.4,"H,,S",,,20.1,",,S"
MZ000067335,"XAI XAI, MZ",-25.05,33.633,5,5/5/2010,,,26.6,"H,,S",,,,
MZ000067335,"XAI XAI, MZ",-25.05,33.633,5,5/6/2010,,,25.1,"H,,S",28.5,",,S",,
